trialId,trialNo,blockNo,cutNo,expCond,control,keyCode,reactionTime,segSize,segCenterX,segCenterY,segCentDist,intDiff,intStd,segNcut,segStab,leaf,correct,meanImgInt,meanSegInt,deltaInt,expTime,expType,participantID
1,1,1,5,1,1,0,0.31130973480395324,0.4358974358974359,0.8235294117647058,0.7058823529411765,0.5919690451597532,0.3829879476285429,0.7858395890060033,,,1,0,0.5878378378378412,0.3789473684210672,0.6170120523714572,0.5,1,my
2,2,1,2,2,0,0,0.4406381429570518,0.15384615384615385,0.23529411764705882,0.0,0.8721718641894848,0.9604612850082374,0.0,,,1,1,0.317567567567567,1.0,0.039538714991762786,0.8,1,my
3,3,1,2,1,1,1,0.024317507154421915,0.41025641025641024,0.5882352941176471,0.17647058823529413,0.47140452079103157,0.1768259198242723,0.37153629121025983,,,1,1,0.3783783783783801,0.06666666666666667,0.8231740801757278,0.5,1,my
4,4,1,5,1,0,0,0.00018510484256165186,0.38461538461538464,0.4117647058823529,0.17647058823529413,0.4978586625371179,0.380560131795717,0.0,,,1,1,0.668918918918919,0.4,0.6194398682042832,0.5,1,my
5,5,1,2,1,1,1,0.3399414507566378,0.28205128205128205,0.8235294117647058,0.7058823529411765,0.5919690451597532,0.054365733113674285,0.0,,,1,1,0.6554054054054049,0.0,0.9456342668863257,0.5,1,my
6,6,1,5,2,0,1,0.2824977041525079,0.23076923076923078,0.35294117647058826,0.23529411764705882,0.4622501635210246,0.006589785831961001,0.0,,,1,0,0.8513513513513521,0.0,0.9934102141680391,0.8,1,my
7,7,1,5,1,1,1,0.052878397409490206,0.23076923076923078,0.23529411764705882,0.47058823529411764,0.4622501635210246,0.6156956717088514,0.6429100507328644,,,1,1,0.19594594594594708,0.5454545454545325,0.38430432829114863,0.5,1,my
8,8,1,5,1,0,1,0.0003349679128796023,0.4358974358974359,0.7647058823529411,0.11764705882352941,0.6666666666666673,0.7561779242174632,0.0,,,1,0,0.47972972972972894,0.8,0.24382207578253698,0.5,1,my
9,9,1,5,2,0,0,0.25370757130129096,0.28205128205128205,0.11764705882352941,0.7647058823529411,0.7952852522702986,0.20263591433278408,0.0,,,1,1,0.7229729729729751,0.2,0.7973640856672161,0.8,1,my
10,10,1,2,1,0,0,0.16785758765621064,0.2564102564102564,0.23529411764705882,0.058823529411764705,0.7952852522702986,0.9341021416803945,0.0,,,1,1,0.4256756756756792,1.0,0.06589785831960572,0.5,1,my
11,11,1,2,2,1,0,0.02419980647819053,0.46153846153846156,0.11764705882352941,0.11764705882352941,0.852347186594598,0.3476112026359136,0.5104177855340402,,,1,0,0.6351351351351403,0.35,0.6523887973640865,0.8,1,my
12,12,1,5,2,1,0,0.009816373258953811,0.3076923076923077,0.11764705882352941,0.17647058823529413,0.7952852522702986,0.7347611202635911,0.0,,,1,0,0.5675675675675702,0.8,0.265238879736409,0.8,1,my
13,13,1,5,2,0,0,0.2825510800405651,0.46153846153846156,0.8235294117647058,0.17647058823529413,0.6537204504606143,0.3772652388797368,0.0,,,1,1,0.682432432432433,0.4,0.6227347611202633,0.8,1,my
14,14,1,2,2,1,1,0.2682976650101901,0.358974358974359,0.4117647058823529,0.8235294117647058,0.5847053462046867,0.5041186161449756,0.5932958789676532,,,1,1,0.5,0.5,0.49588138385502456,0.8,1,my
15,15,1,5,1,0,1,0.29687840014671496,0.1794871794871795,0.11764705882352941,0.058823529411764705,0.915208630644859,0.38550247116968733,0.0,,,1,0,0.6486486486486479,0.4,0.6144975288303127,0.5,1,my
16,16,1,2,2,0,0,0.0815511717376042,0.38461538461538464,0.8235294117647058,0.7647058823529411,0.6537204504606143,0.09390444810543706,0.0,,,1,1,0.493243243243243,0.0,0.906095551894563,0.8,1,my
17,17,1,2,2,0,1,0.3542242909560711,0.28205128205128205,0.11764705882352941,0.6470588235294118,0.7040784727049219,0.052718286655684204,0.0,,,1,0,0.662162162162162,0.0,0.9472817133443159,0.8,1,my
18,18,1,5,1,1,1,0.0001238594325458711,0.48717948717948717,0.35294117647058826,0.8235294117647058,0.6201736729460419,0.30956303443947597,0.7413843764544772,,,1,1,0.7027027027027041,0.32380952380953354,0.6904369655605241,0.5,1,my
19,19,1,2,1,0,1,0.3547080954798835,0.5384615384615384,0.8235294117647058,0.29411764705882354,0.5390716933750936,0.12026359143327833,0.0,,,1,0,0.38513513513513714,0.0,0.8797364085667218,0.5,1,my
20,20,1,2,2,1,1,0.0002107663272051393,0.5384615384615384,0.9411764705882353,0.11764705882352941,0.852347186594598,0.382565718788052,0.39342420959525615,,,1,1,0.4256756756756792,0.3304347826086674,0.6174342812119481,0.8,1,my
21,21,1,5,2,1,1,0.00020494972401929233,0.28205128205128205,0.47058823529411764,0.7647058823529411,0.47140452079103157,0.8616144975288299,0.0,,,1,1,0.7229729729729751,1.0,0.13838550247117018,0.8,1,my
22,22,1,5,2,0,1,0.0003339414534938553,0.3333333333333333,0.11764705882352941,0.7647058823529411,0.7952852522702986,0.2537067545304782,0.0,,,1,0,0.513513513513514,0.2,0.7462932454695219,0.8,1,my
23,23,1,2,2,0,0,0.0003418109754511962,0.6666666666666666,0.8235294117647058,0.7058823529411765,0.5919690451597532,0.8747940691927514,0.0,,,1,1,0.668918918918919,1.0,0.12520593080724873,0.8,1,my
24,24,1,5,2,1,1,0.1390298179608496,0.4358974358974359,0.47058823529411764,0.17647058823529413,0.47140452079103157,0.6190930373710233,0.9489914621963875,,,1,1,0.4729729729729719,0.6315789473683993,0.38090696262897683,0.8,1,my
25,25,1,5,2,1,0,0.00019400082390473946,0.20512820512820512,0.11764705882352941,0.17647058823529413,0.7952852522702986,0.06425041186161388,0.0,,,1,0,0.6148648648648692,0.0,0.9357495881383863,0.8,1,my
26,26,1,5,1,0,1,0.0003869751884237319,0.28205128205128205,0.5294117647058824,0.5294117647058824,0.09245003270420492,0.5189456342668856,0.0,,,1,0,0.7770270270270313,0.6,0.4810543657331145,0.5,1,my
27,27,1,5,1,1,0,0.00019776450831910682,0.3333333333333333,0.8823529411764706,0.6470588235294118,0.6201736729460419,0.1960461285008236,0.15856499343441874,,,1,0,0.6148648648648692,0.1600000000000004,0.8039538714991765,0.5,1,my
28,28,1,2,1,0,0,0.139012368151292,0.41025641025641024,0.17647058823529413,0.7647058823529411,0.7220578379655767,0.4843492586490934,0.0,,,1,1,0.24324324324324617,0.4,0.5156507413509067,0.5,1,my
29,29,1,2,1,0,0,0.08153988068436101,0.28205128205128205,0.47058823529411764,0.7647058823529411,0.47140452079103157,0.05601317957166441,0.0,,,1,1,0.6486486486486479,0.0,0.9439868204283357,0.5,1,my
30,30,1,2,2,1,1,0.0003219660939935698,0.3333333333333333,0.17647058823529413,0.17647058823529413,0.7220578379655767,0.6957715540911578,0.36809246595395445,,,1,1,0.5472972972972991,0.7466666666666659,0.3042284459088423,0.8,1,my
31,31,1,2,1,1,1,0.00034010020980829414,0.358974358974359,0.47058823529411764,0.7058823529411765,0.3811812499312439,0.4732289950576609,0.20829999733290638,,,1,1,0.837837837837838,0.5625,0.5267710049423392,0.5,1,my
32,32,1,2,1,1,1,0.5120913494108814,0.2564102564102564,0.8235294117647058,0.11764705882352941,0.7220578379655767,0.7742998352553538,0.43588989435406794,,,1,1,0.5743243243243272,0.85,0.22570016474464624,0.5,1,my
33,1,2,2,1,0,1,0.0002148721647480982,0.3333333333333333,0.17647058823529413,0.7647058823529411,0.7220578379655767,0.8896210873146613,0.0,,,1,0,0.6081081081081122,1.0,0.1103789126853388,0.5,1,my
34,2,2,5,2,1,1,0.00020187034586206573,0.2564102564102564,0.11764705882352941,0.7647058823529411,0.7952852522702986,0.7182866556836894,0.0,,,1,1,0.6351351351351403,0.8,0.28171334431631073,0.8,1,my
35,3,2,5,1,1,1,0.23946168363974282,0.6666666666666666,0.17647058823529413,0.17647058823529413,0.7220578379655767,0.4219816427394682,0.5714087298142515,,,1,1,0.3783783783783801,0.36428571428573375,0.5780183572605319,0.5,1,my
36,4,2,2,1,1,1,0.0003383894441653921,0.2564102564102564,0.23529411764705882,0.7058823529411765,0.5919690451597532,0.8072487644151556,0.3316624790355406,,,1,1,0.7770270270270313,0.95,0.19275123558484453,0.5,1,my
37,5,2,5,2,1,1,0.19640068594859206,0.23076923076923078,0.4117647058823529,0.7058823529411765,0.41344911529736184,0.37696570316010247,0.9660917830792968,,,1,1,0.5608108108108132,0.36363636363633417,0.6230342968398976,0.8,1,my
38,6,2,2,2,1,1,0.39727570835962284,0.46153846153846156,0.7058823529411765,0.7647058823529411,0.5390716933750936,0.3327841845140031,0.382466602142444,,,1,1,0.831081081081081,0.3899999999999996,0.667215815485997,0.8,1,my
