"Resid..Df","Resid..Dev","Df","Deviance","Pr..Chi.","model","control","id","predictor"
987,1300.4253353852,NA,NA,NA,"cutNo",0,"go","Random"
986,1273.33535505969,1,27.0899803255124,1.94201904503145e-07,"cutNo",0,"go","Cut No"
985,1255.30099757839,1,18.0343574812964,2.16953912758305e-05,"cutNo",0,"go","Exp. Time"
984,1254.4490399894,1,0.851957588985897,0.355999134619999,"cutNo",0,"go","Cut No:Time"
983,1254.36241146489,1,0.0866285245178915,0.768507859099408,"cutNo",0,"go","Cum. Effort."
982,1211.36998649613,1,42.9924249687551,5.49522238202731e-11,"cutNo",0,"go","Seg. Size"
981,1207.80767686675,1,3.56230962937957,0.0591054460483269,"cutNo",0,"go","Seg. Dist"
980,1207.71028927417,1,0.0973875925833454,0.75498743773112,"cutNo",0,"go","Int. Diff."
979,1207.38702495682,1,0.323264317348276,0.569652482195142,"cutNo",0,"go","intOrder"
987,1300.4253353852,NA,NA,NA,"effort",0,"go","Random"
986,1300.17191483412,1,0.253420551080808,0.61467679427211,"effort",0,"go","Cum. Effort"
985,1282.63126996457,1,17.5406448695474,2.81231044812813e-05,"effort",0,"go","Exp. Time"
984,1277.0578121739,1,5.57345779067464,0.0182347171507988,"effort",0,"go","Effort:Time"
983,1249.90344261092,1,27.1543695629755,1.87840165483373e-07,"effort",0,"go","Cut No."
982,1207.05018428847,1,42.8532583224485,5.90037270969906e-11,"effort",0,"go","Seg. Size"
981,1203.30485045386,1,3.74533383461403,0.0529551481204778,"effort",0,"go","Seg. Dist"
980,1203.23985407602,1,0.0649963778416804,0.798766450635734,"effort",0,"go","Int. Diff."
979,1202.89695152996,1,0.342902546055029,0.558158589680269,"effort",0,"go","intOrder"
992,707.894002429218,NA,NA,NA,"similarity",1,"go","Random"
991,705.959733678356,1,1.93426875086186,0.16429217776878,"similarity",1,"go","Highest Similarity"
990,705.644145484292,1,0.315588194064503,0.574271120414731,"similarity",1,"go","Exp. Time"
989,678.11033476221,1,27.5338107220816,1.54372116461362e-07,"similarity",1,"go","Seg Dist."
988,677.539510680676,1,0.570824081534511,0.449931634059932,"similarity",1,"go","Int. Diff."
987,646.575322553491,1,30.9641881271847,2.62833632589916e-08,"similarity",1,"go","Seg. Size"
992,707.894002429218,NA,NA,NA,"closeSeg",1,"go","Random"
991,706.319106292123,1,1.57489613709515,0.209497398201502,"closeSeg",1,"go","Closest Segment"
990,705.94495576377,1,0.374150528353312,0.540750521354351,"closeSeg",1,"go","Exp. Time"
989,704.19983968821,1,1.74511607555996,0.186491889591014,"closeSeg",1,"go","Seg Dist."
988,670.193578429399,1,34.0062612588112,5.49350100744396e-09,"closeSeg",1,"go","Int. Diff."
987,654.899494743195,1,15.2940836862041,9.20042161971186e-05,"closeSeg",1,"go","Seg. Size"
