"id","coefs","std","lb","ub","coef_names"
"eb",0.680478493915643,0.124020698174858,0.437397925492922,0.923559062338365,"(Intercept)"
"eb",-0.172907349068318,0.135602457029448,-0.438688164846035,0.0928734667093996,"normed_simScore"
"eb",0.0248552215661231,0.154768405332164,-0.278490852884918,0.328201296017164,"expTime1"
"eb",-0.697295771322902,0.137829705652903,-0.967441994402592,-0.427149548243211,"normed_segSize"
"eb",-0.301594989861453,0.0906217319550808,-0.479213584493412,-0.123976395229495,"normed_segCentDist"
"eb",-0.154401067379779,0.149978026378658,-0.448357999081948,0.13955586432239,"normed_simScore:expTime1"
"go",1.59069137642211,0.14728862063427,1.30200567997895,1.87937707286528,"(Intercept)"
"go",-0.410852420414991,0.169885165152603,-0.743827344114093,-0.0778774967158896,"normed_simScore"
"go",0.0365764704544984,0.208294768194715,-0.371681275207143,0.44483421611614,"expTime1"
"go",-0.951324946060068,0.17170101390483,-1.28785893331354,-0.614790958806601,"normed_segSize"
"go",-0.37878060119391,0.123069451910955,-0.619996726939382,-0.137564475448439,"normed_segCentDist"
"go",-0.100529831071921,0.194729392551808,-0.482199440473465,0.281139778329623,"normed_simScore:expTime1"
"mae",0.972571859061267,0.123405799144701,0.730696492737653,1.21444722538488,"(Intercept)"
"mae",-0.18772637560217,0.141830173692622,-0.46571351603971,0.0902607648353699,"normed_simScore"
"mae",0.127394849838118,0.167327288055728,-0.200566634751108,0.455356334427344,"expTime1"
"mae",-0.640365650357724,0.137415192589671,-0.909699427833479,-0.371031872881968,"normed_segSize"
"mae",-0.416066758965264,0.0956412879088147,-0.60352368326654,-0.228609834663987,"normed_segCentDist"
"mae",-0.147525401278416,0.161956410721787,-0.464959966293119,0.169909163736287,"normed_simScore:expTime1"
"re",0.759086350515357,0.112849835879826,0.537900672190899,0.980272028839816,"(Intercept)"
"re",-0.210209383912558,0.123171241652196,-0.451625017550862,0.0312062497257461,"normed_simScore"
"re",0.258844068202074,0.145555663073396,-0.0264450314217813,0.544133167825929,"expTime1"
"re",-0.243011881005801,0.125650369053785,-0.489286604351219,0.00326284233961724,"normed_segSize"
"re",-0.0806886445590245,0.080470854405692,-0.238411519194181,0.0770342300761319,"normed_segCentDist"
"re",-0.0440215276866264,0.143947266184685,-0.326158169408609,0.238115114035356,"normed_simScore:expTime1"
"da",0.165924161978697,0.109004503251575,-0.0477246643943898,0.379572988351784,"(Intercept)"
"da",-0.160256143261893,0.118200576189226,-0.391929272592777,0.0714169860689904,"normed_simScore"
"da",0.132240128828821,0.136787464672206,-0.135863301928703,0.400343559586346,"expTime1"
"da",-0.557005487721128,0.12023732162902,-0.792670638114008,-0.321340337328249,"normed_segSize"
"da",-0.257141487548281,0.0763832554754223,-0.406852668280109,-0.107430306816453,"normed_segCentDist"
"da",-0.122125688771093,0.135809845699348,-0.388312986341815,0.144061608799629,"normed_simScore:expTime1"
"js",1.37565499921901,0.14033982419935,1.10058894378828,1.65072105464974,"(Intercept)"
"js",-0.780181524631825,0.168673164234483,-1.11078092653141,-0.449582122732239,"normed_simScore"
"js",0.456033278493648,0.212963120800751,0.0386255617241755,0.87344099526312,"expTime1"
"js",-1.16353430436648,0.170049149689451,-1.49683063775781,-0.830237970975157,"normed_segSize"
"js",-0.404418332998828,0.122792029030129,-0.64509070989788,-0.163745956099776,"normed_segCentDist"
"js",0.122485057765385,0.195582864869729,-0.260857357379284,0.505827472910054,"normed_simScore:expTime1"
