"id","coefs","std","lb","ub","coef_names"
"eb",0.729984491610054,0.386547822255858,-0.0276492400114285,1.48761822323154,"(Intercept)"
"eb",0.0119104775835417,0.0956980691005983,-0.175657737853631,0.199478693020714,"closestSeg"
"eb",-0.353188400698331,0.501404649863885,-1.33594151443154,0.629564713034883,"expTime1"
"eb",-0.459883344744856,0.0957718077965725,-0.647596088026139,-0.272170601463574,"normed_segSize"
"eb",-0.34199779182087,0.0892648098486107,-0.516956819124147,-0.167038764517593,"normed_segCentDist"
"eb",0.103750907100221,0.126203902593729,-0.143608741983487,0.35111055618393,"closestSeg:expTime1"
"go",2.00165909603981,0.48850006542759,1.04419896780173,2.95911922427788,"(Intercept)"
"go",-0.0804252908985149,0.122033934758936,-0.319611803026029,0.158761221228999,"closestSeg"
"go",-0.767315477000464,0.667221648479066,-2.07506990801943,0.540438954018506,"expTime1"
"go",-0.553636389743548,0.1147283655989,-0.778503986317392,-0.328768793169703,"normed_segSize"
"go",-0.46646302563655,0.120625362950828,-0.702888737020173,-0.230037314252927,"normed_segCentDist"
"go",0.224477198280835,0.171013181049015,-0.110708636575234,0.559663033136904,"closestSeg:expTime1"
"mae",1.15748948797385,0.367802883638924,0.436595836041562,1.87838313990614,"(Intercept)"
"mae",-0.034945315376196,0.0940528679502854,-0.219288936558755,0.149398305806363,"closestSeg"
"mae",1.45666637332431,0.618095904004417,0.245198401475651,2.66813434517297,"expTime1"
"mae",-0.446534752267571,0.0982148520554365,-0.639035862296226,-0.254033642238915,"normed_segSize"
"mae",-0.489399022202135,0.0950487423559277,-0.675694557219753,-0.303103487184516,"normed_segCentDist"
"mae",-0.324813390540788,0.148752026524405,-0.616367362528621,-0.0332594185529545,"closestSeg:expTime1"
"re",1.00373813232097,0.330692326709814,0.355581171969734,1.6518950926722,"(Intercept)"
"re",-0.0494898542258405,0.0833200980136019,-0.2127972463325,0.113817537880819,"closestSeg"
"re",1.14573659140147,0.538128357155314,0.0910050113770531,2.20046817142589,"expTime1"
"re",-0.0537125189960993,0.0910768961327898,-0.232223235416367,0.124798197424169,"normed_segSize"
"re",-0.143581967676903,0.0793155610183033,-0.299040467272778,0.0118765319189711,"normed_segCentDist"
"re",-0.218318256896672,0.129335692344273,-0.471816213891448,0.0351797000981035,"closestSeg:expTime1"
"da",0.227936897481298,0.310746638886118,-0.381126514735494,0.83700030969809,"(Intercept)"
"da",0.00214405814518801,0.078938687583566,-0.152575769518601,0.156863885808977,"closestSeg"
"da",0.379653279534012,0.465135539597429,-0.532012378076949,1.29131893714497,"expTime1"
"da",-0.365834842975594,0.0855402325884237,-0.533493698848905,-0.198175987102284,"normed_segSize"
"da",-0.295768928997933,0.0753191538615445,-0.44339447056656,-0.148143387429306,"normed_segCentDist"
"da",-0.0625377672946077,0.114724605462771,-0.287397994001639,0.162322459412424,"closestSeg:expTime1"
"js",2.40617855335025,0.469627266823374,1.48570911037643,3.32664799632406,"(Intercept)"
"js",-0.240247545319769,0.11648818796493,-0.468564393731032,-0.0119306969085072,"closestSeg"
"js",-0.34303623284883,0.722895409107626,-1.75991123469978,1.07383876900212,"expTime1"
"js",-0.577368937264585,0.115567166981534,-0.803880584548392,-0.350857289980779,"normed_segSize"
"js",-0.59685089212285,0.121014051748746,-0.834038433550393,-0.359663350695307,"normed_segCentDist"
"js",0.214780344089118,0.178314090530587,-0.134715273350832,0.564275961529067,"closestSeg:expTime1"
